Month;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;NumofLoan;Type_of_Loan;Delay_from_due_date;NumofDelayedPayment;ChangedCreditLimit;Num_Credit_Inquiries;CreditMix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Monthly_Balance;Credit_Score
June;43;Musician;18627.64;1387.303333;7;7;19;6;Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan;31;21;6.07;7;Bad;1793.54;35.706437;19 Years and 2 Months;Yes;65.13948778;109.5920323;243.9988133;Poor
July;43;Musician;18627.64;1387.303333;7;7;19;6;Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan;26;21;;7;Bad;1793.54;23.24548155;19 Years and 3 Months;Yes;65.13948778;104.2279796;259.362866;Poor
August;44;Musician;18627.64;1387.303333;7;7;19;6;Payday Loan, Not Specified, Student Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan;31;18;5.07;7;Bad;1793.54;38.78895429;19 Years and 4 Months;Yes;65.13948778;98.80418974;264.7866558;Poor
January;21;Engineer;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;30;14;11.8;5;;1489.49;26.32926887;8 Years and 8 Months;Yes;16.71930023;16.28671936;312.9168554;Standard
February;21;Engineer;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;29;17;11.8;7;Standard;1489.49;24.61461029;8 Years and 9 Months;Yes;16.71930023;44.19300345;315.0105713;Standard
March;21;Engineer;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;30;20;11.8;7;Standard;1489.49;26.15307798;8 Years and 10 Months;Yes;16.71930023;47.26668051;311.9368943;Standard
April;21;_______;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;30;15;11.8;7;Standard;1489.49;31.78179827;8 Years and 11 Months;Yes;16.71930023;76.35527781;272.848297;Standard
May;22;Engineer;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;30;18;16.8;7;Standard;1489.49;37.66150545;9 Years and 0 Months;Yes;16.71930023;72.3465135;296.8570613;Standard
June;22;Engineer;12986.745;;4;3;10;2;Mortgage Loan, and Payday Loan;30;17;11.8;7;Standard;1489.49;26.5074745;9 Years and 1 Months;Yes;16.71930023;111.2576305;257.9459443;Standard
July;22;Engineer;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;28;20;11.8;7;;1489.49;30.46998162;9 Years and 2 Months;Yes;16.71930023;46.74959036;322.4539844;Standard
August;22;Engineer;12986.745;959.22875;4;3;10;2;Mortgage Loan, and Payday Loan;28;17;11.8;7;Standard;1489.49;32.25544266;9 Years and 3 Months;Yes;16.71930023;91.82948181;277.374093;Standard
January;43;Writer;58317;4664.75;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;18;17;16.58;6;Standard;98.97;40.41111483;13 Years and 1 Months;Yes;149.8971994;109.4889496;467.088851;Standard
February;43;Writer;58317;4664.75;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;18;20;16.58;6;Standard;98.97;27.80691779;13 Years and 2 Months;Yes;149.8971994;83.30040819;483.2773924;Standard
March;44;Writer;58317;;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;16;20;10.58;6;;98.97;25.8321089;13 Years and 3 Months;Yes;149.8971994;57.95122336;498.6265772;Standard
April;44;Writer;58317;;1414;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;18;23;23.58;10;Standard;98.97;29.76610686;NA;Yes;149.8971994;158.648276;407.9295246;Standard
May;44;Writer;58317;4664.75;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;18;20;22.58;;Standard;98.97;34.19230439;13 Years and 5 Months;Yes;149.8971994;180.8305734;415.7472272;Standard
June;44;Writer;58317;4664.75;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;18;;16.58;10;Standard;98.97;24.6655252;13 Years and 6 Months;Yes;149.8971994;98.88050778;467.6972928;Standard
July;44;Writer;58317;4664.75;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;18;20;21.58;10;Standard;98.97;28.26014675;13 Years and 7 Months;Yes;149.8971994;380.585701;215.9920996;Standard
August;44;Writer;58317;4664.75;8;5;9;6;Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Mortgage Loan, and Personal Loan;22;;16.58;10;Standard;98.97;36.76366453;13 Years and 8 Months;Yes;149.8971994;59.9559875;506.6218131;Standard
January;36;Scientist;42171.98;;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;4;10;9.58;4;Good;556.91;33.47895197;21 Years and 5 Months;No;102.7629131;56.71137669;466.9588769;Standard
February;36;Scientist;42171.98;3764.331667;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;4;8;2.58;4;Good;556.91;26.98611476;21 Years and 6 Months;No;102.7629131;136.9830014;426.6872521;Standard
March;37;Scientist;42171.98;3764.331667;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;4;;2.58;4;Good;556.91;40.15058277;21 Years and 7 Months;NM;102.7629131;97.56675631;446.1034972;Standard
April;37;Scientist;42171.98;;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;2;10;2.58;4;Good;556.91;34.42998587;21 Years and 8 Months;No;102.7629131;255.7658284;287.9044251;Good
May;37;Scientist;42171.98;3764.331667;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;4;10;2.58;4;Good;556.91;31.74521339;21 Years and 9 Months;No;102.7629131;150.313187;373.3570666;Good
June;37;Scientist;42171.98;3764.331667;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;2;10;2.58;4;;556.91;29.46412058;21 Years and 10 Months;NM;102.7629131;82.51039863;451.1598549;Good
July;37;Scientist;42171.98;3764.331667;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;4;10;2.58;4;Good;556.91;38.69215907;NA;No;102.7629131;82.57980213;431.0904514;Good
August;37;Scientist;42171.98;;2;7;10;3;Auto Loan, Auto Loan, and Not Specified;4;10;2.58;4;Good;556.91;35.96285294;22 Years and 0 Months;No;102.7629131;145.3992425;378.271011;Standard
January;36;Manager;71681.4;5799.45;3;518;15;1;Not Specified;7;8;10.44;;;1293.02;40.33902429;25 Years and 7 Months;Yes;53.92351397;301.2920819;514.7294041;Standard
February;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;8;6;10.44;0;Standard;1293.02;29.68295387;25 Years and 8 Months;Yes;53.92351397;137.3311426;638.6903434;Standard
March;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;8;10;10.44;0;Standard;1293.02;29.37139648;25 Years and 9 Months;Yes;53.92351397;253.3197219;562.7017641;Standard
April;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;4;8;10.44;0;Standard;1293.02;33.04149896;25 Years and 10 Months;Yes;53.92351397;120.890142;645.131344;Good
May;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;8;3083;10.44;0;Standard;1293.02;40.79113731;25 Years and 11 Months;Yes;53.92351397;10000;358.0954;Good
June;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;5;6;10.44;0;Standard;1293.02;34.98356207;26 Years and 0 Months;Yes;53.92351397;414.8965494;391.1249366;Good
July;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;8;10;4.44;0;;1293.02;32.73373278;26 Years and 1 Months;Yes;53.92351397;;642.6718243;Good
August;36;Manager;71681.4;5799.45;3;6;15;1;Not Specified;8;8;10.44;0;Standard;1293.02;38.23451377;26 Years and 2 Months;NM;53.92351397;295.811896;510.20959;Good
January;6409;Mechanic;29469.98;2227.831667;1231;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;53;21;26.94;11;;3421.66;24.63965803;NA;Yes;69.68545857;59.82559612;363.272112;Standard
February;50;Mechanic;29469.98;2227.831667;7;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;50;18;22.94;;Bad;3421.66;30.26841053;13 Years and 3 Months;NM;69.68545857;125.4917683;287.6059398;Standard
March;16;Mechanic;29469.98;2227.831667;7;7;24;-100;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;53;24;27.94;11;;3421.66;31.21226879;13 Years and 4 Months;Yes;69.68545857;32.70665182;360.3910563;Standard
April;16;Mechanic;29469.98;2227.831667;7;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;53;21;26.94;11;Bad;3421.66;33.29865431;13 Years and 5 Months;Yes;69.68545857;27.25079463;375.8469135;Poor
May;16;Mechanic;29469.98;2227.831667;7;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;53;21;26.94;11;Bad;3421.66;38.17731096;13 Years and 6 Months;Yes;69.68545857;71.26438577;361.8333223;Poor
June;16;Mechanic;29469.98;;7;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;53;21;27.94;11;Bad;3421.66;30.98699814;13 Years and 7 Months;Yes;69.68545857;117.3103161;325.787392;Poor
July;16;Mechanic;29469.98;;7;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;58;24;26.94;11;Bad;3421.66;33.2830613;13 Years and 8 Months;Yes;69.68545857;115.4534157;327.6442924;Poor
August;16;Mechanic;29469.98;2227.831667;7;7;24;5;Personal Loan, Credit-Builder Loan, Debt Consolidation Loan, Not Specified, and Not Specified;53;21;26.94;11;Bad;3421.66;32.96295024;13 Years and 9 Months;Yes;69.68545857;24.06613145;379.0315766;Poor
January;19;Engineer;72559.36;6284.613333;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;14;21;2.74;1;Standard;1173.7;23.28213511;27 Years and 11 Months;No;215.8391706;565.7433853;116.8787774;Standard
February;19;Engineer;72559.36;;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;14;22;2.74;1;Standard;1173.7;38.35585257;28 Years and 0 Months;No;215.8391706;205.72099;456.9011727;Standard
March;20;Engineer;72559.36;6284.613333;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;18;22;-4.26;1;;1173.7;25.56009927;28 Years and 1 Months;NM;215.8391706;370.4699742;322.1521885;Standard
April;20;_______;72559.36;;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;14;18;;1;;1173.7;36.63682651;28 Years and 2 Months;No;215.8391706;298.6987125;393.9234502;Standard
May;20;_______;72559.36;6284.613333;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;14;21;2.74;1;Standard;1173.7;32.83357784;28 Years and 3 Months;No;215.8391706;117.3102589;535.3119038;Standard
June;7080;Engineer;72559.36;6284.613333;4;5;17;-100;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;16;19;2.74;1;Standard;1173.7;38.08037974;28 Years and 4 Months;No;215.8391706;172.9621775;489.6599852;Standard
July;20;Engineer;72559.36;6284.613333;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;14;19;2.74;1;Standard;1173.7;33.16506303;28 Years and 5 Months;No;215.8391706;82.49686626;580.1252964;Standard
August;20;_______;72559.36;6284.613333;4;5;17;4;Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Payday Loan;15;19;-1.26;5;Standard;1173.7;38.17098243;28 Years and 6 Months;No;215.8391706;105.7178731;556.9042896;Standard
January;36;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;16;1338;9.24;7;Standard;1693.95;37.40993372;7 Years and 10 Months;Yes;43.0705196;65.98658552;323.2597282;Poor
February;36;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;17;20;9.24;7;Standard;1693.95;24.25102818;7 Years and 11 Months;Yes;43.0705196;169.6209801;219.6253336;Poor
March;37;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;12;19;9.24;7;;1693.95;38.78765215;8 Years and 0 Months;Yes;43.0705196;46.5766728;302.6696409;Poor
April;37;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;17;20;9.24;;Standard;1693.95;25.0380524;8 Years and 1 Months;Yes;62073;94.29931655;294.9469972;Standard
May;37;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;17;20;9.24;9;;1693.95;23.09179312;8 Years and 2 Months;Yes;43.0705196;188.8661137;200.3802;Poor
June;37;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;13;23;9.24;9;Standard;1693.95;31.33422002;8 Years and 3 Months;Yes;43.0705196;131.6125215;257.6337922;Poor
July;37;Musician;15566.02;1423.168333;67;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;12;17;11.24;9;Standard;1693.95;29.70645377;8 Years and 4 Months;Yes;43.0705196;80.4844201;308.7618936;Poor
August;37;Musician;15566.02;1423.168333;8;5;32;4;Home Equity Loan, Credit-Builder Loan, Personal Loan, and Mortgage Loan;17;23;9.24;9;Standard;1693.95;36.57298991;8 Years and 5 Months;Yes;43.0705196;;333.9677312;Standard
January;18;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;15;7.67;1618;Standard;233.79;34.45627234;24 Years and 3 Months;No;37602;251.6474222;518.1908835;Standard
February;18;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;;5.67;0;Standard;233.79;32.34982187;24 Years and 4 Months;No;100.1893609;542.0422096;217.7960961;Standard
March;18;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;12;5.67;0;Standard;233.79;33.48684838;24 Years and 5 Months;No;100.1893609;770.6964131;;Standard
April;18;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;;4.67;0;Standard;233.79;33.29385607;24 Years and 6 Months;No;100.1893609;526.9189014;222.9194043;Standard
May;19;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;15;5.67;0;Standard;233.79;26.54909964;24 Years and 7 Months;No;100.1893609;149.525305;580.3130008;Standard
June;19;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;15;5.67;0;Standard;233.79;28.10570447;24 Years and 8 Months;No;100.1893609;66.77787002;663.0604358;Standard
July;19;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;15;5.67;0;Standard;233.79;26.50760977;24 Years and 9 Months;No;100.1893609;66.68835825;663.1499475;Standard
August;19;Developer;66567.32;5800.276667;5;7;5;2;Mortgage Loan, and Not Specified;7;14;-1.33;2;Standard;233.79;28.45378579;NA;NM;100.1893609;82.84422855;636.9940772;Standard
January;32;Media_Manager;12909.895;853.8245833;5;5;13;0;;22;14;7.58;1;Standard;602.5;31.35686818;17 Years and 1 Months;No;0;20.44668059;334.9357777;Standard
February;32;Media_Manager;12909.895;853.8245833;5;5;13;0;;22;14;7.58;1;Standard;602.5;38.33948756;17 Years and 2 Months;No;0;67.16171995;308.2207384;Standard
March;33;Media_Manager;12909.895;853.8245833;5;5;13;0;;20;14;7.58;1;Standard;602.5;32.21809912;17 Years and 3 Months;No;0;114.1999515;261.1825069;Standard
April;33;Media_Manager;12909.895;;5;5;13;0;;22;15;7.58;1;Standard;602.5;29.42723189;17 Years and 4 Months;NM;0;110.9742218;264.4082365;Standard
May;33;Media_Manager;12909.895;;5;1005;13;0;;22;14;7.58;1;Standard;602.5;32.4690579;17 Years and 5 Months;No;0;64.52797054;310.8544878;Standard
June;33;Media_Manager;12909.895;853.8245833;5;5;753;0;;17;14;7.58;1;Standard;602.5;35.63389379;17 Years and 6 Months;No;0;31.01282665;334.3696317;Standard
July;33;Media_Manager;12909.895;853.8245833;5;5;13;0;;22;16;7.58;3;Standard;602.5;39.80429294;17 Years and 7 Months;No;0;51.48954251;323.8929158;Standard
August;33;Media_Manager;12909.895;853.8245833;5;5;13;-100;;22;15;7.58;3;Standard;602.5;23.57985072;17 Years and 8 Months;No;0;60.05263477;305.3298236;Standard
January;849;Accountant;30788.44;2623.703333;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;49;;21.73;9;Bad;3470.08;24.61673534;1 Years and 2 Months;Yes;114.5330209;232.1388168;185.6984956;Standard
February;33;Accountant;30788.44;;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;49;20;21.73;9;Bad;3470.08;39.74169977;1 Years and 3 Months;Yes;114.5330209;53.64864334;344.1886691;Standard
March;33;Accountant;30788.44;;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;52;22;21.73;9;;3470.08;39.15505442;1 Years and 4 Months;Yes;114.5330209;102.343498;335.4938145;Standard
April;33;Accountant;30788.44;2623.703333;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;49;20;21.73;9;Bad;3470.08;27.68144423;1 Years and 5 Months;Yes;114.5330209;97.31358834;340.5237241;Standard
May;33;Accountant;30788.44;2623.703333;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;49;20;21.73;9;;3470.08;33.46870759;1 Years and 6 Months;NM;114.5330209;55.92865463;331.9086578;Standard
June;33;Accountant;30788.44;2623.703333;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;45;21;21.73;9;Bad;3470.08;35.45708113;1 Years and 7 Months;Yes;114.5330209;72.98412459;334.8531878;Standard
July;33;Accountant;30788.44;2623.703333;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;49;20;21.73;9;Bad;3470.08;27.15981089;1 Years and 8 Months;Yes;114.5330209;70.08822093;327.7490915;Standard
August;33;Accountant;30788.44;2623.703333;7;9;31;6;Credit-Builder Loan, Payday Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, and Credit-Builder Loan;49;20;21.73;9;Bad;3470.08;38.25442229;NA;Yes;114.5330209;242.5323493;195.3049632;Standard
January;42;Architect;20574.47;1740.539167;6;3;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;;13.74;6;Standard;749.95;25.82415682;10 Years and 11 Months;NM;49.34866632;145.900478;268.8047724;Standard
February;42;Architect;20574.47;1740.539167;6;3;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;10;13.74;6;Standard;749.95;37.26323375;11 Years and 0 Months;Yes;49.34866632;;309.7407407;Standard
March;42;_______;20574.47;1740.539167;6;3;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;10;14.74;11;Standard;749.95;27.20801259;11 Years and 1 Months;Yes;14982;127.2455258;267.4597245;Standard
April;42;_______;20574.47;;572;3;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;12;6.74;11;Standard;749.95;36.55953784;11 Years and 2 Months;Yes;49.34866632;25.16140443;349.5438459;Standard
May;50;Architect;20574.47;1740.539167;6;1327;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;7;13.74;11;Standard;749.95;29.03616365;11 Years and 3 Months;Yes;49.34866632;139.9785623;254.7266881;Standard
June;42;Architect;20574.47;1740.539167;6;3;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;10;6.74;11;Standard;749.95;37.55229512;11 Years and 4 Months;Yes;49.34866632;192.372069;222.3331814;Standard
July;42;Architect;20574.47;1740.539167;6;3;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;1;7;13.74;11;Standard;749.95;38.33877418;11 Years and 5 Months;Yes;49.34866632;119.2737917;275.4314586;Standard
August;42;Architect;20574.47;1740.539167;6;1189;14;4;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, and Home Equity Loan;6;10;13.74;11;Standard;749.95;28.62902965;11 Years and 6 Months;Yes;49.34866632;;322.7377426;Standard
January;21;Lawyer;148699.32;12432.61;3;4;748;3;Personal Loan, Mortgage Loan, and Payday Loan;13;8;9.2;1;Good;949.38;41.68721335;30 Years and 7 Months;No;364.9151774;296.1518279;822.1939947;Good
February;21;_______;148699.32;12432.61;3;4;1138;-100;Personal Loan, Mortgage Loan, and Payday Loan;13;4;9.2;1;Good;949.38;28.51077465;30 Years and 8 Months;No;364.9151774;237.9183809;880.4274417;Good
March;21;_______;148699.32;12432.61;3;4;5;3;Personal Loan, Mortgage Loan, and Payday Loan;13;3;9.2;1;Good;949.38;41.47825034;30 Years and 9 Months;No;364.9151774;10000;705.6144782;Good
April;22;Lawyer;148699.32;12432.61;3;4;5;3;Personal Loan, Mortgage Loan, and Payday Loan;13;6;9.2;1;Good;949.38;31.40151636;30 Years and 10 Months;No;364.9151774;599.4618328;558.8839898;Good
May;22;Lawyer;148699.32;12432.61;3;4;5;3;Personal Loan, Mortgage Loan, and Payday Loan;10;3;10.2;525;;949.38;34.26155637;30 Years and 11 Months;No;364.9151774;264.7984248;853.5473978;Good
June;22;Lawyer;148699.32;12432.61;3;4;5;3;Personal Loan, Mortgage Loan, and Payday Loan;13;6;9.2;1;Good;949.38;26.71579704;31 Years and 0 Months;No;364.9151774;861.1156692;277.2301534;Good
July;22;Lawyer;148699.32;12432.61;3;4;5;3;Personal Loan, Mortgage Loan, and Payday Loan;18;6;9.2;1;;949.38;39.77628577;31 Years and 1 Months;No;364.9151774;342.8142659;785.5315567;Good
August;22;Lawyer;148699.32;12432.61;3;4;5;3;Personal Loan, Mortgage Loan, and Payday Loan;16;8;9.2;1;Good;949.38;40.60538838;31 Years and 2 Months;No;364.9151774;328.9078394;799.4379832;Good
January;19;Musician;85554.03;7185.5025;4;2;3;0;;12;7;6.43;3;Good;1095.73;33.43437152;19 Years and 7 Months;No;0;162.9955862;795.5546638;Good
February;19;Musician;85554.03;7185.5025;4;2;3;0;;12;;6.43;3;;1095.73;38.38982003;19 Years and 8 Months;NM;0;81.57260644;886.9776436;Good
March;19;Musician;85554.03;7185.5025;4;2;3;0;;12;7;6.43;3;;1095.73;36.62486342;19 Years and 9 Months;No;0;128.5248739;840.0253761;Good
April;19;Musician;85554.03;7185.5025;4;2;3;-100;;12;7;6.43;3;Good;1095.73;31.36024474;19 Years and 10 Months;No;0;303.6646866;684.8855634;Good
May;19;Musician;85554.03;7185.5025;1488;2;3;-100;;14;;6.43;3;;1095.73;41.66180247;19 Years and 11 Months;No;0;70.82263262;887.7276174;Good
June;19;Musician;85554.03;7185.5025;4;2;3;0;;12;7;6.43;3;Good;1095.73;25.02632602;20 Years and 0 Months;No;0;465.4277737;523.1224763;Good
July;3885;Musician;85554.03;7185.5025;4;2;3;0;;12;4;6.43;3;Good;1095.73;23.91628778;20 Years and 1 Months;No;0;;273.6508993;Good
August;20;_______;85554.03;7185.5025;4;2;3;0;;12;7;6.43;3;Good;1095.73;41.51328788;NA;No;81050;78.79818323;879.7520668;Good
January;15;Entrepreneur;55829.79;4369.4825;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;30;20;27.99;11;;3422.49;27.07054347;NA;Yes;314.9017853;348.7994885;63.24697621;Standard
February;15;Entrepreneur;18334118;4369.4825;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;30;18;20.99;11;Bad;3422.49;36.72993924;10 Years and 6 Months;Yes;314.9017853;124.5414704;257.5049943;Standard
March;15;Entrepreneur;55829.79;4369.4825;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;30;19;27.99;11;Bad;3422.49;27.97880174;10 Years and 7 Months;Yes;314.9017853;132.0062495;250.0402152;Standard
April;15;Entrepreneur;55829.79;4369.4825;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;30;18;27.99;11;Bad;3422.49;27.11330402;NA;Yes;314.9017853;172.22331;209.8231548;Standard
May;16;Entrepreneur;55829.79;4369.4825;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;27;18;;11;Bad;3422.49;38.02568458;10 Years and 9 Months;Yes;314.9017853;182.04655;199.9999147;Standard
June;16;Entrepreneur;55829.79;;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;31;21;27.99;11;;3422.49;23.34669686;10 Years and 10 Months;Yes;314.9017853;106.9001127;255.146352;Standard
July;16;Entrepreneur;55829.79;;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;30;15;27.99;11;Bad;3422.49;30.83696021;NA;NM;314.9017853;192.30406;219.7424048;Poor
August;16;Entrepreneur;55829.79;;10;10;18;8;Student Loan, Home Equity Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan;30;19;23.99;11;Bad;3422.49;37.86566807;11 Years and 0 Months;Yes;314.9017853;255.7295014;156.3169634;Standard
January;27;Architect;19717385;1057.435833;7;10;33;9;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan;59;;8.82;11;Bad;2797.17;25.31433886;13 Years and 11 Months;Yes;58.86844084;60.55078556;246.3243569;Standard
February;27;Architect;14165.23;;7;10;33;9;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan;55;24;6.82;11;Bad;2797.17;33.13167712;14 Years and 0 Months;Yes;58.86844084;10000;252.016603;Poor
March;27;Architect;14165.23;1057.435833;7;10;33;9;Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, Payday Loan, Payday Loan, Payday Loan, and Student Loan;56;24;8.82;11;;2797.17;33.07759976;14 Years and 1 Months;Yes;58.86844084;124.0568381;212.8183044;Poor
